hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay
Urban Hotel,1,9,2016,January,5,28,1,3,2,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,70.4,0,0,Cancelled,24-01-2016,4,Winter,0,2.0,0
Luxury Resort,0,226,2015,September,36,4,4,10,2,0.0,0,SB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,71.0,Not Applicable,0,Corporate Contract,62.48,0,0,Checked-Out,18-09-2015,14,Autumn,0,2.0,1
Urban Hotel,1,110,2015,July,30,25,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,Not Applicable,0,Regular-Party,94.5,0,0,Cancelled,22-07-2015,3,Summer,0,2.0,0
Urban Hotel,0,138,2016,July,28,5,1,5,2,0.0,0,HB,AUT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,Not Applicable,0,Regular,102.25,0,0,Checked-Out,11-07-2016,6,Summer,0,2.0,0
Urban Hotel,1,210,2015,October,41,8,1,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,Not Applicable,0,Regular-Party,86.0,0,0,Cancelled,30-06-2015,4,Autumn,0,2.0,0
Urban Hotel,0,0,2017,August,31,1,0,2,2,1.0,0,SB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular,179.0,1,0,Checked-Out,03-08-2017,2,Summer,1,3.0,0
Urban Hotel,0,7,2016,December,50,7,0,1,1,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,Not Applicable,0,Regular,74.8,0,0,Checked-Out,08-12-2016,1,Winter,0,1.0,0
Urban Hotel,0,100,2016,April,17,19,0,3,2,0.0,0,SB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular-Party,76.5,0,0,Checked-Out,22-04-2016,3,Spring,0,2.0,0
Urban Hotel,1,10,2017,May,20,14,2,0,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,88.0,0,1,Cancelled,04-05-2017,2,Spring,0,1.0,0
Urban Hotel,1,95,2016,October,45,30,2,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,79.8,0,2,Cancelled,06-10-2016,3,Autumn,0,2.0,0
Luxury Resort,0,274,2017,March,10,10,1,2,1,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,39.8,0,2,Checked-Out,13-03-2017,3,Spring,0,1.0,0
Urban Hotel,0,0,2017,February,6,7,0,3,2,0.0,0,SB,Unknown,Group Bookings,TA/TO,1,0,3,A,A,2,No Deposit,1.0,Not Applicable,0,Group Booking,68.33,0,0,Checked-Out,10-02-2017,3,Winter,0,2.0,0
Luxury Resort,0,71,2016,April,14,2,2,5,2,0.0,0,FB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,26.0,Not Applicable,0,Regular,89.25,0,0,Checked-Out,09-04-2016,7,Spring,0,2.0,1
Urban Hotel,0,140,2015,November,47,18,0,3,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,29.0,Not Applicable,87,Regular-Party,103.84,0,0,Checked-Out,21-11-2015,3,Autumn,0,2.0,0
Urban Hotel,0,1,2016,August,33,7,1,0,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,Not Applicable,0,Regular,98.0,0,0,Checked-Out,08-08-2016,1,Summer,0,2.0,0
Urban Hotel,1,17,2016,July,30,23,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,139.0,0,1,Cancelled,12-07-2016,1,Summer,0,2.0,0
Urban Hotel,0,115,2017,May,21,22,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,135.0,0,4,Checked-Out,25-05-2017,3,Spring,0,2.0,0
Urban Hotel,0,0,2017,May,18,6,0,1,3,0.0,0,SB,AGO,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,,Not Applicable,0,Regular,250.0,0,1,Checked-Out,07-05-2017,1,Spring,0,3.0,0
Luxury Resort,0,0,2017,August,35,30,0,1,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,Not Applicable,0,Regular,175.0,0,1,Checked-Out,31-08-2017,1,Summer,0,2.0,0
Urban Hotel,0,38,2017,May,20,15,1,2,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,455.0,Not Applicable,0,Regular-Party,134.5,0,0,Checked-Out,18-05-2017,3,Spring,0,1.0,0
Urban Hotel,0,125,2017,April,16,21,2,3,3,0.0,0,SB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular-Party,160.0,0,1,Checked-Out,26-04-2017,5,Spring,0,3.0,0
Luxury Resort,0,59,2015,August,36,31,1,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,Not Applicable,0,Regular,105.5,0,2,Checked-Out,04-09-2015,4,Summer,0,2.0,0
Urban Hotel,0,1,2016,February,7,9,0,1,2,1.0,0,SB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Regular,109.0,0,0,Checked-Out,10-02-2016,1,Winter,1,3.0,0
Urban Hotel,0,6,2017,June,26,30,0,1,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular-Party,160.0,0,1,Checked-Out,01-07-2017,1,Summer,0,2.0,0
Urban Hotel,1,37,2016,October,42,13,0,3,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,Not Applicable,0,Regular-Party,95.0,0,0,Cancelled,06-09-2016,3,Autumn,0,1.0,0
Urban Hotel,1,92,2017,March,11,15,0,3,2,0.0,0,SB,PRT,Group Bookings,Direct,0,0,0,A,A,0,Non Refund,,Not Applicable,0,Regular,85.0,0,0,Cancelled,13-12-2016,3,Spring,0,2.0,0
Urban Hotel,0,59,2017,May,21,23,0,1,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,Not Applicable,0,Regular,89.1,0,2,Checked-Out,24-05-2017,1,Spring,0,2.0,0
Urban Hotel,0,60,2017,July,30,24,1,1,2,0.0,0,SB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,Not Applicable,0,Regular,80.1,0,1,Checked-Out,26-07-2017,2,Summer,0,2.0,0
Urban Hotel,0,47,2017,June,24,11,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,140.0,0,1,Checked-Out,15-06-2017,4,Summer,0,2.0,0
Urban Hotel,0,31,2016,June,27,26,2,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,98.1,0,1,Checked-Out,30-06-2016,4,Summer,0,2.0,0
Luxury Resort,0,0,2017,February,7,15,0,1,1,0.0,0,SB,Unknown,Online TA,TA/TO,1,0,3,A,D,0,No Deposit,240.0,Not Applicable,0,Regular,55.0,0,2,Checked-Out,16-02-2017,1,Winter,0,1.0,0
Luxury Resort,1,227,2016,June,23,3,2,5,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,72.0,0,1,Cancelled,25-05-2016,7,Summer,0,2.0,1
Urban Hotel,1,9,2016,October,43,16,2,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,140.0,0,1,Cancelled,10-10-2016,4,Autumn,0,2.0,0
Urban Hotel,0,0,2015,December,49,2,0,1,1,0.0,0,SB,ESP,Direct,Direct,1,0,0,A,A,1,No Deposit,,Not Applicable,0,Regular,69.0,0,0,Checked-Out,03-12-2015,1,Winter,0,1.0,0
Urban Hotel,0,33,2017,March,11,14,0,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.67,0,0,Checked-Out,17-03-2017,3,Spring,0,2.0,0
Urban Hotel,0,0,2016,December,50,7,0,1,3,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,83.2,0,1,Checked-Out,08-12-2016,1,Winter,0,3.0,0
Luxury Resort,0,0,2016,March,14,29,0,1,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,48.0,0,0,Checked-Out,30-03-2016,1,Spring,0,2.0,0
Luxury Resort,0,227,2016,September,36,1,2,4,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,,Not Applicable,0,Regular-Party,115.0,0,1,Checked-Out,07-09-2016,6,Autumn,0,2.0,0
Luxury Resort,1,310,2017,June,22,3,2,5,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular-Party,88.2,0,0,Cancelled,06-10-2016,7,Summer,0,2.0,1
Luxury Resort,1,38,2017,April,14,2,2,2,2,0.0,0,SB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,70.0,0,0,Cancelled,23-02-2017,4,Spring,0,2.0,0
Luxury Resort,1,97,2015,August,34,17,1,4,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,Not Applicable,0,Regular,209.4,0,0,Cancelled,13-05-2015,5,Summer,0,3.0,0
Urban Hotel,0,6,2015,August,33,12,0,4,2,0.0,0,SB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,90.0,0,2,Checked-Out,16-08-2015,4,Summer,0,2.0,0
Urban Hotel,0,48,2017,February,8,22,0,2,1,0.0,0,SB,ESP,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular-Party,65.0,0,1,Checked-Out,24-02-2017,2,Winter,0,1.0,0
Urban Hotel,1,45,2016,March,12,19,2,2,3,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,124.1,0,1,Cancelled,08-02-2016,4,Spring,0,3.0,0
Urban Hotel,0,9,2016,May,21,18,0,1,1,0.0,0,SC,Unknown,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,8.0,Not Applicable,0,Regular,124.0,0,1,Checked-Out,19-05-2016,1,Spring,0,1.0,0
Urban Hotel,0,1,2015,October,42,14,0,1,1,0.0,0,SC,MEX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,114.0,0,1,Checked-Out,15-10-2015,1,Autumn,0,1.0,0
Urban Hotel,1,37,2016,June,23,4,1,1,2,0.0,0,SB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,131.4,0,0,Cancelled,12-05-2016,2,Summer,0,2.0,0
Urban Hotel,1,58,2017,May,18,1,1,3,2,0.0,0,HB,FRA,Direct,Direct,0,0,0,D,D,3,No Deposit,14.0,Not Applicable,0,Regular,189.5,0,1,Cancelled,04-03-2017,4,Spring,0,2.0,0
Luxury Resort,0,5,2016,March,14,28,1,2,3,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,Not Applicable,0,Regular,44.4,1,1,Checked-Out,31-03-2016,3,Spring,0,3.0,0
Luxury Resort,0,9,2017,January,3,18,0,1,2,0.0,0,SB,ESP,Online TA,Direct,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,65.0,1,0,Checked-Out,19-01-2017,1,Winter,0,2.0,0
Luxury Resort,0,123,2016,February,9,27,1,1,2,0.0,0,FB,ESP,Group Bookings,Direct,0,0,0,A,A,0,No Deposit,38.0,Not Applicable,0,Regular-Party,79.49,0,0,Checked-Out,29-02-2016,2,Winter,0,2.0,0
Urban Hotel,0,4,2016,May,19,2,1,1,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,85.0,Not Applicable,0,Regular,90.0,0,0,Checked-Out,04-05-2016,2,Spring,0,2.0,0
Urban Hotel,1,143,2016,November,47,17,0,1,1,0.0,0,SB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,84.6,0,1,Cancelled,15-08-2016,1,Autumn,0,1.0,0
Urban Hotel,1,69,2017,April,14,6,0,3,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,197.0,0,Regular,85.0,0,0,Cancelled,27-01-2017,3,Spring,0,1.0,0
Urban Hotel,1,88,2016,November,47,18,0,2,2,0.0,0,SB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,102.6,0,1,Cancelled,21-10-2016,2,Autumn,0,2.0,0
Luxury Resort,0,40,2015,August,33,10,1,4,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular,192.0,0,1,Checked-Out,15-08-2015,5,Summer,0,2.0,0
Urban Hotel,0,50,2015,October,41,9,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,32.0,Not Applicable,49,Regular-Party,85.0,0,0,Checked-Out,11-10-2015,2,Autumn,0,2.0,0
Urban Hotel,0,87,2016,July,29,14,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.5,0,1,Checked-Out,18-07-2016,4,Summer,0,2.0,0
Luxury Resort,1,155,2015,October,44,31,0,1,2,0.0,0,SB,Unknown,Group Bookings,Direct,0,0,0,A,A,0,Non Refund,,Not Applicable,0,Regular,36.0,0,0,Cancelled,26-10-2015,1,Autumn,0,2.0,0
Urban Hotel,0,110,2016,December,51,16,2,3,2,2.0,0,SB,BRA,Online TA,TA/TO,0,0,0,B,B,4,No Deposit,9.0,Not Applicable,0,Regular,155.72,0,2,Checked-Out,21-12-2016,5,Winter,1,4.0,0
Urban Hotel,1,125,2017,July,28,15,2,1,2,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,135.0,0,0,Cancelled,14-03-2017,3,Summer,0,2.0,0
Urban Hotel,0,133,2017,February,7,17,2,2,2,0.0,0,SB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.4,0,2,Checked-Out,21-02-2017,4,Winter,0,2.0,0
Urban Hotel,1,213,2017,May,21,25,0,2,2,0.0,0,SB,PRT,Group Bookings,Direct,0,0,0,A,A,0,Non Refund,,Not Applicable,32,Regular,130.0,0,0,Cancelled,25-11-2016,2,Spring,0,2.0,0
Urban Hotel,1,238,2017,June,25,18,2,2,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,117.0,0,1,Cancelled,18-06-2017,4,Summer,0,2.0,0
Luxury Resort,0,9,2016,November,48,25,0,2,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,Not Applicable,0,Regular,48.0,0,1,Checked-Out,27-11-2016,2,Autumn,0,2.0,0
Luxury Resort,0,223,2016,May,22,24,1,5,2,0.0,1,SB,GBR,Group Bookings,Direct,0,0,0,A,C,1,No Deposit,,223.0,0,Regular-Party,67.67,0,1,Checked-Out,30-05-2016,6,Spring,1,3.0,0
Urban Hotel,1,146,2017,April,17,29,0,1,2,0.0,0,SB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,130.5,0,1,Cancelled,15-03-2017,1,Spring,0,2.0,0
Urban Hotel,1,106,2017,June,26,29,0,1,1,0.0,1,SB,FRA,Direct,Direct,0,0,0,B,B,1,No Deposit,14.0,Not Applicable,0,Regular,121.5,0,1,Cancelled,25-03-2017,1,Summer,1,2.0,0
Luxury Resort,0,96,2016,April,16,16,2,5,2,0.0,0,SB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,Not Applicable,0,Regular,52.2,0,0,Checked-Out,23-04-2016,7,Spring,0,2.0,1
Urban Hotel,1,440,2016,September,39,22,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,62.0,0,0,Cancelled,21-10-2015,2,Autumn,0,2.0,0
Urban Hotel,1,35,2017,July,28,10,1,2,1,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,114.0,0,0,Cancelled,07-06-2017,3,Summer,0,1.0,0
Urban Hotel,0,207,2017,May,18,5,1,2,2,0.0,0,SC,ABW,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Regular,99.0,0,1,Checked-Out,08-05-2017,3,Spring,0,2.0,0
Urban Hotel,1,20,2017,March,11,13,1,1,1,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,254.0,Not Applicable,0,Regular-Party,178.0,0,0,No-Show,13-03-2017,2,Spring,0,1.0,0
Urban Hotel,1,86,2017,April,17,27,0,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,99.0,0,0,Cancelled,31-01-2017,2,Spring,0,2.0,0
Urban Hotel,1,349,2015,October,40,1,0,2,2,0.0,0,SB,Unknown,Group Bookings,TA/TO,0,1,0,A,A,0,Non Refund,1.0,Not Applicable,0,Corporate Contract,62.0,0,0,Cancelled,01-01-2015,2,Autumn,0,2.0,0
Urban Hotel,0,41,2016,September,38,14,0,2,1,0.0,0,SB,Unknown,Group Bookings,TA/TO,0,0,0,A,A,1,No Deposit,86.0,Not Applicable,0,Regular-Party,108.0,0,0,Checked-Out,16-09-2016,2,Autumn,0,1.0,0
Urban Hotel,0,423,2017,July,29,22,1,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular-Party,122.4,0,1,Checked-Out,24-07-2017,2,Summer,0,2.0,0
Urban Hotel,0,34,2017,March,12,20,1,1,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,Not Applicable,0,Corporate Contract,68.0,0,0,Checked-Out,22-03-2017,2,Spring,0,2.0,0
Luxury Resort,0,5,2016,June,25,13,1,1,2,2.0,0,SB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,Not Applicable,0,Regular,168.6,1,0,Checked-Out,15-06-2016,2,Summer,1,4.0,0
Urban Hotel,0,5,2015,September,36,2,0,2,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Regular,65.0,0,0,Checked-Out,04-09-2015,2,Autumn,0,1.0,0
Urban Hotel,0,108,2017,April,17,24,1,2,2,0.0,0,SB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular,108.0,0,1,Checked-Out,27-04-2017,3,Spring,0,2.0,0
Urban Hotel,1,10,2016,July,31,24,1,0,2,1.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,103.84,0,0,Cancelled,17-07-2016,1,Summer,1,3.0,0
Luxury Resort,0,166,2016,March,12,19,2,5,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,2.0,Not Applicable,0,Corporate Contract,42.5,0,0,Checked-Out,26-03-2016,7,Spring,0,2.0,1
Urban Hotel,0,97,2016,April,16,16,2,1,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular-Party,102.3,0,0,Checked-Out,19-04-2016,3,Spring,0,2.0,0
Urban Hotel,0,0,2016,February,6,5,0,2,1,0.0,0,SC,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,79.0,0,0,Checked-Out,07-02-2016,2,Winter,0,1.0,0
Urban Hotel,1,101,2016,April,18,26,0,1,2,0.0,0,HB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,35.0,Not Applicable,0,Regular-Party,98.0,0,0,Cancelled,16-01-2016,1,Spring,0,2.0,0
Luxury Resort,0,1,2016,January,3,14,0,1,1,0.0,0,SB,PRT,Corporate,Corporate,1,0,1,E,G,0,No Deposit,,144.0,0,Regular,79.49,1,0,Checked-Out,15-01-2016,1,Winter,0,1.0,0
Urban Hotel,1,155,2017,April,15,13,1,3,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,Not Applicable,0,Regular,130.0,0,0,Cancelled,05-04-2017,4,Spring,0,2.0,0
Urban Hotel,1,258,2017,March,10,8,0,4,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,85.0,0,0,Cancelled,09-08-2016,4,Spring,0,2.0,0
Luxury Resort,1,23,2017,April,16,22,2,5,2,0.0,0,FB,PRT,Group Bookings,Corporate,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular-Party,116.0,0,0,Cancelled,31-03-2017,7,Spring,0,2.0,1
Luxury Resort,0,7,2017,February,9,26,2,0,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,107.0,1,1,Checked-Out,28-02-2017,2,Winter,0,2.0,0
Urban Hotel,1,227,2017,August,34,26,2,5,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,99.0,0,0,Cancelled,04-02-2017,7,Summer,0,2.0,1
Urban Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,,Not Applicable,20,Regular,75.0,0,0,Cancelled,03-02-2016,2,Spring,0,1.0,0
Urban Hotel,0,145,2016,August,32,1,1,1,2,0.0,0,SC,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.5,0,0,Checked-Out,03-08-2016,2,Summer,0,2.0,0
Urban Hotel,0,77,2016,October,41,7,1,2,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,D,D,5,No Deposit,9.0,Not Applicable,0,Regular,132.3,0,2,Checked-Out,10-10-2016,3,Autumn,0,2.0,0
Urban Hotel,0,15,2017,May,21,23,0,1,1,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,130.0,0,1,Checked-Out,24-05-2017,1,Spring,0,1.0,0
Luxury Resort,1,178,2015,September,38,13,2,2,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular-Party,91.0,0,1,Cancelled,10-08-2015,4,Autumn,0,2.0,0
Luxury Resort,0,10,2016,February,9,25,1,3,2,0.0,0,SB,GBR,Online TA,TA/TO,1,0,1,D,D,0,No Deposit,242.0,Not Applicable,0,Group Booking,58.0,0,2,Checked-Out,29-02-2016,4,Winter,0,2.0,0
Luxury Resort,0,21,2016,February,6,6,2,1,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,,Not Applicable,0,Regular,35.0,0,1,Checked-Out,09-02-2016,3,Winter,0,2.0,0
Luxury Resort,0,0,2016,January,5,30,0,1,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,Not Applicable,0,Regular,45.0,0,0,Checked-Out,31-01-2016,1,Winter,0,2.0,0
Luxury Resort,0,29,2016,December,52,18,1,0,2,3.0,0,SB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,Not Applicable,0,Regular,88.0,0,0,Checked-Out,19-12-2016,1,Winter,1,4.0,0
Urban Hotel,0,84,2015,November,48,27,1,2,1,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,1,No Deposit,1.0,Not Applicable,0,Regular-Party,56.0,0,0,Checked-Out,30-11-2015,3,Autumn,0,1.0,0
Urban Hotel,1,305,2016,November,45,4,1,2,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,Not Applicable,0,Regular,89.0,0,0,Cancelled,01-02-2016,3,Autumn,0,2.0,0
Urban Hotel,1,150,2017,June,24,17,2,3,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,Not Applicable,0,Regular,120.0,0,0,Cancelled,18-01-2017,5,Summer,0,1.0,0
Urban Hotel,0,20,2015,July,30,22,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,62.0,0,0,Checked-Out,24-07-2015,2,Summer,0,2.0,0
Luxury Resort,0,23,2017,June,23,9,1,2,1,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,Not Applicable,0,Regular,156.12,1,1,Checked-Out,12-06-2017,3,Summer,0,1.0,0
Urban Hotel,1,208,2016,September,38,11,2,1,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,Not Applicable,0,Regular,116.1,0,0,Cancelled,16-07-2016,3,Autumn,0,2.0,0
Urban Hotel,1,121,2017,January,1,6,2,2,2,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.4,0,0,Cancelled,07-09-2016,4,Winter,0,2.0,0
Luxury Resort,1,93,2016,January,2,6,2,6,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,Not Applicable,0,Regular,73.1,0,1,Cancelled,12-11-2015,8,Winter,0,2.0,1
Urban Hotel,1,184,2016,August,33,13,1,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.5,0,0,Cancelled,11-02-2016,2,Summer,0,2.0,0
Luxury Resort,0,0,2016,January,2,9,0,1,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,Not Applicable,0,Regular,58.52,1,2,Checked-Out,10-01-2016,1,Winter,0,2.0,0
Luxury Resort,0,40,2017,January,3,16,1,2,1,0.0,0,Undefined,PRT,Group Bookings,Direct,0,0,0,A,D,1,No Deposit,,Not Applicable,0,Regular-Party,55.0,0,0,Checked-Out,19-01-2017,3,Winter,0,1.0,0
